Commodity Code,Commodity Initials,Car Type,Boxcarable
721,ABRASV,HC,Y
527,ACTATE,HC,Y
527,ACETON,T,Y
625,ACRAFT,FL,N
535,ALCHOL,T,Y
773,ALFALF,HC,Y
311,ALUMNA,HC,Y
555,ALUMN,FS,Y
631,AMMO,BN,N
609,ANCHOR,GR,Y
609,ABGARS,FS,Y
219,TALLOW,T,Y
69,APCOTS,RM,Y
399,ASBEST,BX,Y
339,ASPHLT,T,Y
621,AUTOS,AG,Y
613,APARTS,BX,Y
781,BBLS,BX,Y
785,BASKTS,BX,Y
685,BATRYS,ID,Y
689,BATUBS,BX,Y
311,BAUXTE,GO,Y
669,WALLBD,FB,Y
89,BEETPP,HC,Y
507,BENZEN,T,N
53,BERRYS,RM,N
575,BILLET,FS,Y
743,IMPTS,BX,Y
763,BISCTS,RC,N
687,BOILRS,BX,Y
697,BOTTLS,BX,Y
89,BROCLI,RM,N
705,BRUSHS,BX,Y
13,BWHEAT,HC,Y
681,BLDGS,FL,N
595,MACHY,FS,N
77,CABBGE,RM,N
571,CALCUM,GO,Y
217,CGOODS,IE,N
55,CANTS,RM,N
527,CARBDE,FZ,Y
665,CARBON,HC,Y
799,CARDBD,GR,Y
89,CARROT,RM,N
783,CARTON,BX,Y
587,CASING,GR,Y
583,CASTGS,FS,Y
667,CATLGS,BX,Y
773,CATFD,RC,N
89,CFLOWR,RM,N
533,CSODA,HC,Y
21,CEREAL,IE,N
499,CHCOAL,GO,Y
613,FRAMES,FX,N
527,CHEM,T,Y
69,CHRRYS,RM,N
701,CWARE,BN,Y
669,CHIPBD,FB,Y
509,CHLRNE,T,Y
499,XTREES,GO,Y
777,CIGTS,BX,Y
797,CINDER,GR,N
199,CBEANS,HC,Y
73,CCONUT,RM,N
635,COMPD,T,Y
785,CONTRS,FC,N
413,COOPMT,FB,Y
69,CRNBRY,HC,N
543,CREOSO,T,N
701,CROKRY,BN,Y
89,CUKES,RM,N
539,CYAMID,HC,N
527,CYNIDE,HC,N
233,DAIRYP,RC,N
509,DOXIDE,T,Y
701,ERWARE,BN,Y
625,ENGS,BX,Y
631,EXLOS,BN,N
763,EXTRAT,RC,Y
999,EXFRT,PB,Y
691,FASTGS,FS,Y
399,FELSPR,GO,Y
581,FENCE,FB,Y
539,FERTZ,HC,Y
671,FIBRBD,FB,Y
565,FITTGS,BX,Y
691,FLSHGS,FB,Y
331,FURSPR,HC,Y
687,FURNAC,FS,Y
715,FURN,BX,Y
583,GASKET,BX,Y
501,GASO,T,N
595,GENRTR,FW,Y
695,GLWARE,BN,Y
527,GLYCRN,T,Y
335,GRANIT,FB,Y
549,GRANLS,HC,Y
61,GRPFRT,RM,Y
399,GRFITE,HC,Y
691,HDWARE,BX,Y
687,HTRS,BX,Y
799,HHGDS,BX,Y
541,INSIDS,T,Y
675,INSULN,FB,Y
763,JELLY,IE,Y
507,KRSENE,T,Y
,KLENEX,BX,Y
547,LAQUER,T,Y
797,LEATHR,IE,Y
81,LETUCE,RM,N
333,LIMSTN,GO,N
713,LINOLM,FB,Y
47,LINSED,BX,Y
527,LIQUOR,BN,Y
603,STOCK,SA,N
667,MAGS,BN,Y
221,MARG,RM,N
23,MIDDS,BX,Y
619,MLTYST,FS,Y
763,MLKPDR,IE,Y
755,MOLASS,T,Y
507,NAPTHA,T,Y
729,NAPKIN,BX,Y
659,PAPER,BX,Y
799,OILCTH,BX,Y
61,ORANGS,RM,N
63,PEACHS,RM,N
97,PEANUT,HC,Y
539,PEATMS,GO,Y
337,OIL,T,Y
343,PHOSRK,GO,N
,TRLRS,FT,N
69,PAPPLS,RM,N
647,PLASTR,GS,Y
671,PLASBD,FB,Y
549,PLSTIC,GR,Y
415,PLYWD,FB,Y
13,POPCRN,IE,N
85,SPUDS,HC,N
225,PLTRY,RM,N
655,PULPBD,FB,Y
319,PYRITE,GO,Y
687,RADS,FS,Y
71,RAISIN,HC,Y
707,RFRGRS,BX,Y
673,ROOFNG,FB,Y
499,SAWDST,HO,N
329,SCRNGS,BX,Y
797,SHAVGS,HO,Y
673,SHINGL,BX,Y
199,SHRUBS,GS,Y
399,SILICN,HO,N
533,SODASH,HO,Y
547,SOLVNT,T,Y
43,SBEANS,HC,Y
799,SPRING,BX,Y
329,STDUST,HC,Y
713,STRWBD,FB,Y
527,STYRNE,HC,Y
759,SGBEET,HC,Y
345,SULPHR,HC,Y
799,SUNDRS,BX,Y
763,TAPOCA,HC,Y
583,TINPLT,FB,Y
29,TOBACO,IE,Y
87,TOMS,RM,N
617,TRACTR,FS,Y
225,TURKYS,RM,N
89,TURNIP,HC,Y
417,TURPS,BX,Y
547,VARNSH,T,Y
89,VEGTS,RM,N
799,VINGAR,T,Y
199,WALNUT,HC,Y
67,WMELON,RM,N
745,WHISKY,BN,Y
499,WDFLOR,WB,Y
653,WPULP,WB,Y
