Commodity Code, Car Type, Boxcarable
ABRASV,HC,Y
ACTATE,HC,Y
ACETON,T,Y
ACRAFT,FL,N
ALCHOL,T,Y
ALFALF,HC,Y
ALUMNA,HC,Y
ALUMN,FS,Y
AMMO,BN,N
ANCHOR,GR,Y
ABGARS,FS,Y
TALLOW,T,Y
APCOTS,RM,Y
ASBEST,BX,Y
ASPHLT,T,Y
AUTOS,AG,Y
APARTS,BX,Y
BBLS,BX,Y
BASKTS,BX,Y
BATRYS,ID,Y
BATUBS,BX,Y
BAUXTE,GO,Y
WALLBD,FB,Y
BEETPP,HC,Y
BENZEN,T,N
BERRYS,RM,N
BILLET,FS,Y
IMPTS,BX,Y
BISCTS,RC,N
BOILRS,BX,Y
BOTTLS,BX,Y
BROCLI,RM,N
BRUSHS,BX,Y
BWHEAT,HC,Y
BLDGS,FL,N
MACHY,FS,N
CABBGE,RM,N
CALCUM,GO,Y
CGOODS,IE,N
CANTS,RM,N
CARBDE,FZ,Y
CARBON,HC,Y
CARDBD,GR,Y
CARROT,RM,N
CARTON,BX,Y
CASING,GR,Y
CASTGS,FS,Y
CATLGS,BX,Y
CATFD,RC,N
CFLOWR,RM,N
CSODA,HC,Y
CEREAL,IE,N
CHCOAL,GO,Y
FRAMES,FX,N
CHEM,T,Y
CHRRYS,RM,N
CWARE,BN,Y
CHIPBD,FB,Y
CHLRNE,T,Y
XTREES,GO,Y
CIGTS,BX,Y
CINDER,GR,N
CBEANS,HC,Y
CCONUT,RM,N
COMPD,T,Y
CONTRS,FC,N
COOPMT,FB,Y
CRNBRY,HC,N
CREOSO,T,N
CROKRY,BN,Y
CUKES,RM,N
CYAMID,HC,N
CYNIDE,HC,N
DAIRYP,RC,N
DOXIDE,T,Y
ERWARE,BN,Y
ENGS,BX,Y
EXLOS,BN,N
EXTRAT,RC,Y
EXFRT,PB,Y
FASTGS,FS,Y
FELSPR,GO,Y
FENCE,FB,Y
FERTZ,HC,Y
FIBRBD,FB,Y
FITTGS,BX,Y
FLSHGS,FB,Y
FURSPR,HC,Y
FURNAC,FS,Y
FURN,BX,Y
GASKET,BX,Y
GASO,T,N
GENRTR,FW,Y
GLWARE,BN,Y
GLYCRN,T,Y
GRANIT,FB,Y
GRANLS,HC,Y
GRPFRT,RM,Y
GRFITE,HC,Y
HDWARE,BX,Y
HTRS,BX,Y
HHGDS,BX,Y
INSIDS,T,Y
INSULN,FB,Y
JELLY,IE,Y
KRSENE,T,Y
KLENEX,BX,Y
LAQUER,T,Y
LEATHR,IE,Y
LETUCE,RM,N
LIMSTN,GO,N
LINOLM,FB,Y
LINSED,BX,Y
LIQUOR,BN,Y
STOCK,SA,N
MAGS,BN,Y
MARG,RM,N
MIDDS,BX,Y
MLTYST,FS,Y
MLKPDR,IE,Y
MOLASS,T,Y
NAPTHA,T,Y
NAPKIN,BX,Y
PAPER,BX,Y
OILCTH,BX,Y
ORANGS,RM,N
PEACHS,RM,N
PEANUT,HC,Y
PEATMS,GO,Y
OIL,T,Y
PHOSRK,GO,N
TRLRS,FT,N
PAPPLS,RM,N
PLASTR,GS,Y
PLASBD,FB,Y
PLSTIC,GR,Y
PLYWD,FB,Y
POPCRN,IE,N
SPUDS,HC,N
PLTRY,RM,N
PULPBD,FB,Y
PYRITE,GO,Y
RADS,FS,Y
RAISIN,HC,Y
RFRGRS,BX,Y
ROOFNG,FB,Y
SAWDST,HO,N
SCRNGS,BX,Y
SHAVGS,HO,Y
SHINGL,BX,Y
SHRUBS,GS,Y
SILICN,HO,N
SODASH,HO,Y
SOLVNT,T,Y
SBEANS,HC,Y
SPRING,BX,Y
STDUST,HC,Y
STRWBD,FB,Y
STYRNE,HC,Y
SGBEET,HC,Y
SULPHR,HC,Y
SUNDRS,BX,Y
TAPOCA,HC,Y
TINPLT,FB,Y
TOBACO,IE,Y
TOMS,RM,N
TRACTR,FS,Y
TURKYS,RM,N
TURNIP,HC,Y
TURPS,BX,Y
VARNSH,T,Y
VEGTS,RM,N
VINGAR,T,Y
WALNUT,HC,Y
WMELON,RM,N
WHISKY,BN,Y
WDFLOR,WB,Y
WPULP,WB,Y
